"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"3";"0.01uF";"CC-US025-024X044";"C025-024X044";"C4, C7, C11";"CAPACITOR, US symbol";"";"";"";"";
"5";"0.1uF";"CC-US025-024X044";"C025-024X044";"C2, C3, C6, C8, C10";"CAPACITOR, US symbol";"";"";"";"";
"12";"100K";"R";"0207/7";"R1, R3, R4, R6, R7, R9, R11, R13, R23, R25, R29, R30";"RESISTOR, US symbol";"";"";"";"";
"1";"10K";"R";"0207/7";"R10";"RESISTOR, US symbol";"";"";"";"";
"2";"10uF";"CE-USE2-5";"E2-5";"C5, C9";"ELECTROLYTIC CAPACITOR, US symbol";"";"";"";"";
"2";"15pF";"CC-US025-024X044";"C025-024X044";"C14, C16";"CAPACITOR, US symbol";"";"";"";"";
"6";"1K";"R";"0207/7";"R2, R5, R8, R12, R20, R22";"RESISTOR, US symbol";"";"";"";"";
"7";"1N4148";"1N4148";"DO34-5";"D1, D2, D3, D4, D5, D6, D7";"DIODE";"";"";"";"";
"1";"2.2uF";"CE-USE2-5";"E2-5";"C1";"ELECTROLYTIC CAPACITOR, US symbol";"";"";"";"";
"1";"20MHz";"CRYSTALHC49S";"HC49/S";"Q1";"CRYSTAL";"";"";"1667008";"unknown";
"8";"22K";"R";"0207/7";"R15, R16, R17, R18, R26, R27, R32, R33";"RESISTOR, US symbol";"";"";"";"";
"6";"390";"R";"0207/7";"R14, R19, R21, R24, R28, R31";"RESISTOR, US symbol";"";"";"";"";
"3";"4.7uF";"CE-USE2-5";"E2-5";"C12, C13, C15";"ELECTROLYTIC CAPACITOR, US symbol";"";"";"";"";
"1";"50K (lin)";"R-VAR";"R-VAR";"RV1";"";"";"";"";"";
"1";"CK1";"CL1384";"CL1384";"J5";"";"";"";"";"";
"1";"CK2";"CL1384";"CL1384";"J6";"";"";"";"";"";
"1";"DIR1";"CL1384";"CL1384";"J3";"";"";"";"";"";
"1";"DIR2";"CL1384";"CL1384";"J4";"";"";"";"";"";
"2";"LM324N";"LM324N";"DIL14";"IC1, IC4";"OP AMP";"";"";"";"";
"1";"MODE";"LED3MM";"LED3MM";"LED1";"LED";"";"";"";"";
"1";"MODE/TRGT/SET";"DIP04S";"DIP04S";"S1";"DIL/CODE SWITCH";"";"";"unknown";"unknown";
"1";"PIC18F2431DIP";"PIC18F2431DIP";"DIL28-3";"IC2";"USB Microcontrollers with nanoWatt Technology High-Performance, Enhanced Flash, 28-Pin,";"MICROCHIP";"PIC18F2431-I/SP";"";"";
"1";"PROGRAM";"MA04-1";"MA04-1";"SV1";"PIN HEADER";"";"";"unknown";"unknown";
"1";"PWR";"PINHD-2X8";"2X08";"JP1";"PIN HEADER";"";"";"";"";
"1";"RST1";"CL1384";"CL1384";"J1";"";"";"";"";"";
"1";"RST2";"CL1384";"CL1384";"J2";"";"";"";"";"";
"1";"TARGET";"LED3MM";"LED3MM";"LED2";"LED";"";"";"";"";
"1";"TL082P";"TL082P";"DIL08";"IC5";"OP AMP";"";"";"";"";
"1";"TL084P";"TL084P";"DIL14";"IC3";"OP AMP";"";"";"";"";
"1";"TO PNL";"PINHD-2X5";"2X05";"JP2";"PIN HEADER";"";"";"";"";
"6";"1K";"R";"0207/7";"R1, R2, R3, R4, R5, R6";"RESISTOR, US symbol";"";
"1";"CV1 OUT";"CL1384";"CL1384";"J3";"";"";
"1";"CV2 OUT";"CL1384";"CL1384";"J2";"";"";
"1";"CV3 OUT";"CL1384";"CL1384";"J1";"";"";
"1";"GATE1 OUT";"CL1384";"CL1384";"J6";"";"";
"1";"GATE2 OUT";"CL1384";"CL1384";"J5";"";"";
"1";"GATE3 OUT";"CL1384";"CL1384";"J4";"";"";
"1";"TO MAIN";"PINHD-2X5";"2X05";"JP1";"PIN HEADER";"";

